1;Strana TIP;0,72
2;STRANA MODERNÉHO SLOVENSKA (SMS);0,17
3;OBYÈAJNÍ ¼UDIA a nezávislé osobnosti ;11,02
4;Demokrati Slovenska - ¼udo Kaník;0,07
5;ŠANCA;0,25
6;SME RODINA - Boris Kollár;6,62
7;Strana zelenıch Slovenska;0,67
8;KOALÍCIA SPOLOÈNE ZA SLOVENSKO;0,06
9;Maïarská kresanskodemokratická aliancia ;0,09
10;VZDOR - strana práce;0,12
11;MOST - HÍD;6,5
12;Slovenská národná strana;8,64
13;Odvaha - Ve¾ká národná a proruská koalícia;0,13
14;Komunistická strana Slovenska;0,62
15;Slovenská demokratická a kresanská únia ;0,26
16;SMER - sociálna demokracia;28,28
17;Kresanskodemokratické hnutie;4,94
18;Slovenská obèianska koalícia;0,83
19;Kotleba - ¼udová strana Naše Slovensko;8,04
20;#SIE;5,6
21;Strana maïarskej komunity - Magyar Közösség Pártja;4,04
22;PRIAMA DEMOKRACIA;0,13
23;Sloboda a Solidarita;12,1
